date,time,rainfall_event,wind_speed,wind_direction
24/2/20,19:10:00,1,13.1,90.9
24/2/20,19:20:00,1,12.9,91.1
24/2/20,19:30:00,1,13.3,95.1
24/2/20,19:40:00,1,15.4,91.9
24/2/20,19:50:00,1,17.9,96.5
24/2/20,20:00:00,1,15.3,98.4
24/2/20,20:10:00,1,14,99
24/2/20,20:20:00,1,14.5,102.8
24/2/20,20:30:00,1,16.4,95.2
24/2/20,20:40:00,1,17.9,98.9
24/2/20,20:50:00,1,18.2,102.9
24/2/20,21:00:00,1,22.3,104.1
24/2/20,21:10:00,1,18.6,102.9
24/2/20,21:20:00,1,17,96
24/2/20,21:30:00,1,14.7,94.8
24/2/20,21:40:00,1,19.9,92.6
24/2/20,21:50:00,1,19.2,94.3
24/2/20,22:00:00,1,18.7,94.5
24/2/20,22:10:00,1,19,95.8
24/2/20,22:20:00,1,18.2,97.8
24/2/20,22:30:00,1,16,94.2
24/2/20,22:40:00,1,16.5,98.6
24/2/20,22:50:00,1,17.5,96
24/2/20,23:00:00,1,17.6,94.5
24/2/20,23:10:00,1,15.9,93.7
24/2/20,23:20:00,1,14.1,97
24/2/20,23:30:00,1,13,101.8
24/2/20,23:40:00,1,12.1,102.1
24/2/20,23:50:00,1,11.1,104.6
25/2/20,0:00:00,1,9.6,106.5
25/2/20,0:10:00,1,8.7,108.7
25/2/20,0:20:00,1,9.8,102.1
25/2/20,0:30:00,1,10.1,91.7
25/2/20,0:40:00,1,11.3,93.6
25/2/20,0:50:00,1,11,100.2
25/2/20,1:00:00,1,12.8,98.9
25/2/20,1:10:00,1,12.8,100.9
25/2/20,1:20:00,1,12.4,100.9
25/2/20,1:30:00,1,10.9,101.5
25/2/20,1:40:00,1,11.5,100.6
25/2/20,1:50:00,1,13.6,99.3
25/2/20,2:00:00,1,15,92.9
25/2/20,2:10:00,1,15.1,93.3
25/2/20,2:20:00,1,12.3,91.8
25/2/20,2:30:00,1,13.1,96.2
25/2/20,2:40:00,1,12.4,102.4
25/2/20,2:50:00,1,13.4,103.7
25/2/20,3:00:00,1,12.4,98.8
25/2/20,3:10:00,1,14,99.9
25/2/20,3:20:00,1,11.6,101.6
25/2/20,3:30:00,1,12,100.5
25/2/20,3:40:00,1,12.2,101.3
25/2/20,3:50:00,1,12.6,99.2
25/2/20,4:00:00,1,12.1,99.6
25/2/20,4:10:00,1,11.8,95.7
25/2/20,4:20:00,1,10.4,96.2
25/2/20,4:30:00,1,12.3,100.8
25/2/20,4:40:00,1,12.7,97.6
25/2/20,4:50:00,1,14.5,102.7
25/2/20,5:00:00,1,13.1,98.7
25/2/20,5:10:00,1,12.9,98.8
25/2/20,5:20:00,1,13.3,100.3
25/2/20,5:30:00,1,14.6,97.1
25/2/20,5:40:00,1,14.4,97.6
25/2/20,5:50:00,1,14.8,90.6
25/2/20,6:00:00,1,14.3,91.2
25/2/20,6:10:00,1,15.4,89.5
25/2/20,6:20:00,1,15.4,90.6
25/2/20,6:30:00,1,15.8,90.7
25/2/20,6:40:00,1,16.6,93.9
25/2/20,6:50:00,1,15.7,94.2
25/2/20,7:00:00,1,14,93.3
25/2/20,7:10:00,1,13.6,96.1
25/2/20,7:20:00,1,14.5,96.2
25/2/20,7:30:00,1,13.3,93.1
25/2/20,7:40:00,1,14.5,99.5
25/2/20,7:50:00,1,14.6,93.5
25/2/20,8:00:00,1,15.7,91.5
25/2/20,8:10:00,1,17.4,87.5
25/2/20,8:20:00,1,16.1,96
25/2/20,8:30:00,1,15.4,94.4
25/2/20,8:40:00,1,15.3,93.7
25/2/20,8:50:00,1,15.5,96.4
25/2/20,9:00:00,1,17.2,90
25/2/20,9:10:00,1,20.2,88.7
25/2/20,9:20:00,1,20.4,92.6
25/2/20,9:30:00,1,18.3,92.8
25/2/20,9:40:00,1,16.5,88.1
25/2/20,9:50:00,1,18.9,92.2
25/2/20,10:00:00,1,17.9,84.8
25/2/20,10:10:00,1,20.3,84.3
25/2/20,10:20:00,1,18.6,97.6
25/2/20,10:30:00,1,20.1,84.1
25/2/20,10:40:00,1,19.4,81.8
25/2/20,10:50:00,1,19.2,88.6
25/2/20,11:00:00,1,19.2,92.1
25/2/20,11:10:00,1,16.2,88.8
25/2/20,11:20:00,1,19.3,81.1
25/2/20,11:30:00,1,17.9,83.9
25/2/20,11:40:00,1,19.2,82.6
25/2/20,11:50:00,1,19,94.1
25/2/20,12:00:00,1,17.9,80.7
25/2/20,12:10:00,1,18.9,82.4
25/2/20,12:20:00,1,18.3,81.1
25/2/20,12:30:00,1,17.6,87.1
25/2/20,12:40:00,1,19.1,84.3
25/2/20,12:50:00,1,17.3,94.9
25/2/20,13:00:00,1,16.7,95.4
25/2/20,13:10:00,1,17.4,99.6
25/2/20,13:20:00,1,16.1,84.8
25/2/20,13:30:00,1,16.9,93.6
25/2/20,13:40:00,1,13.5,85
25/2/20,13:50:00,1,16,71.4
25/2/20,14:00:00,1,13.9,74.5
25/2/20,14:10:00,1,14.9,86.3
25/2/20,14:20:00,1,14.5,84.8
25/2/20,14:30:00,1,14.2,82.3
25/2/20,14:40:00,1,13.3,84.6
25/2/20,14:50:00,1,14.3,87.7
25/2/20,15:00:00,1,15.7,86.1
25/2/20,15:10:00,1,15.8,86.3
25/2/20,15:20:00,1,14.6,70.9
25/2/20,15:30:00,1,14.6,86.8
28/2/20,17:00:00,2,8,157
28/2/20,17:10:00,2,6.4,161.5
28/2/20,17:20:00,2,6.1,148.4
28/2/20,17:30:00,2,4.2,158
28/2/20,17:40:00,2,3.7,163.5
28/2/20,17:50:00,2,3.6,158.4
28/2/20,18:00:00,2,3.4,128.2
28/2/20,18:10:00,2,14.6,90.7
28/2/20,18:20:00,2,16.4,86.8
28/2/20,18:30:00,2,13.5,82.9
28/2/20,18:40:00,2,15.3,82.2
28/2/20,18:50:00,2,12.3,78.9
28/2/20,19:00:00,2,12.5,81.9
28/2/20,19:10:00,2,12.7,89.2
28/2/20,19:20:00,2,13.8,86
28/2/20,19:30:00,2,14.2,87.7
28/2/20,19:40:00,2,12.8,88.8
28/2/20,19:50:00,2,14.4,93.5
28/2/20,20:00:00,2,14.5,81.8
28/2/20,20:10:00,2,14.8,80.4
28/2/20,20:20:00,2,15.1,78.6
28/2/20,20:30:00,2,16.3,77
28/2/20,20:40:00,2,15.5,73.9
28/2/20,20:50:00,2,15.6,81
28/2/20,21:00:00,2,14.8,78.5
28/2/20,21:10:00,2,14.9,79.5
28/2/20,21:20:00,2,14.3,81.3
28/2/20,21:30:00,2,16,87.8
28/2/20,21:40:00,2,15.3,89.3
28/2/20,21:50:00,2,16.3,90.2
28/2/20,22:00:00,2,12.6,82.5
28/2/20,22:10:00,2,12.1,77.3
28/2/20,22:20:00,2,13.3,79.9
28/2/20,22:30:00,2,14.1,82.2
28/2/20,22:40:00,2,13.1,82.9
28/2/20,22:50:00,2,13.1,76.1
28/2/20,23:00:00,2,12.2,80
28/2/20,23:10:00,2,12.7,74.1
28/2/20,23:20:00,2,12.8,70.8
28/2/20,23:30:00,2,11.1,71.9
28/2/20,23:40:00,2,11.9,68
28/2/20,23:50:00,2,10.8,71.8
29/2/20,0:00:00,2,11.9,76.4
29/2/20,0:10:00,2,11.1,78.2
29/2/20,0:20:00,2,11.2,70.4
29/2/20,0:30:00,2,10.7,76.3
29/2/20,0:40:00,2,10.7,76.8
29/2/20,0:50:00,2,10.9,69.4
29/2/20,1:00:00,2,12.3,72
29/2/20,1:10:00,2,12.5,73.4
29/2/20,1:20:00,2,12.1,75.3
29/2/20,1:30:00,2,10.8,72.1
29/2/20,1:40:00,2,11,64.9
29/2/20,1:50:00,2,11.1,71.8
29/2/20,2:00:00,2,11.6,79
29/2/20,2:10:00,2,11.8,86.9
29/2/20,2:20:00,2,9.6,83.8
29/2/20,2:30:00,2,11.3,81.6
29/2/20,2:40:00,2,11.6,83.7
29/2/20,2:50:00,2,13.1,79.4
29/2/20,3:00:00,2,11.7,87.6
29/2/20,3:10:00,2,12.4,92.1
29/2/20,3:20:00,2,9,94.6
29/2/20,3:30:00,2,13.1,91.8
29/2/20,3:40:00,2,9.1,79.5
29/2/20,3:50:00,2,9,68.4
29/2/20,4:00:00,2,8.5,88.7
29/2/20,4:10:00,2,9.9,92.5
29/2/20,4:20:00,2,11.1,96.7
29/2/20,4:30:00,2,11,98.4
29/2/20,4:40:00,2,9.7,102.4
29/2/20,4:50:00,2,9.1,107.8
29/2/20,5:00:00,2,10,112.1
29/2/20,5:10:00,2,9.5,106.4
29/2/20,5:20:00,2,10.5,108.7
29/2/20,5:30:00,2,8.9,106.3
29/2/20,5:40:00,2,9.4,102.9
29/2/20,5:50:00,2,10,104.6
29/2/20,6:00:00,2,10.3,103.5
29/2/20,6:10:00,2,9.9,98.9
29/2/20,6:20:00,2,10.7,100.1
29/2/20,6:30:00,2,10.4,100.2
29/2/20,6:40:00,2,10.1,96.2
29/2/20,6:50:00,2,10.5,97.3
29/2/20,7:00:00,2,13.5,93.5
29/2/20,7:10:00,2,12.6,94
29/2/20,7:20:00,2,14.6,93.1
29/2/20,7:30:00,2,15.6,92.8
29/2/20,7:40:00,2,15.5,95.2
29/2/20,7:50:00,2,14.8,94.4
29/2/20,8:00:00,2,15.5,87.8
29/2/20,8:10:00,2,14.3,94.8
29/2/20,8:20:00,2,15.6,87.7
29/2/20,8:30:00,2,14.6,79.2
29/2/20,8:40:00,2,17.3,81.3
29/2/20,8:50:00,2,16.1,82.1
29/2/20,9:00:00,2,16.9,93.6
29/2/20,9:10:00,2,16.6,83.9
29/2/20,9:20:00,2,14,86.4
29/2/20,9:30:00,2,15.6,78
29/2/20,9:40:00,2,16.9,75.9
29/2/20,9:50:00,2,17.4,80.4
29/2/20,10:00:00,2,19.6,89.8
29/2/20,10:10:00,2,18.6,83.8
29/2/20,10:20:00,2,18.1,81.7
29/2/20,10:30:00,2,17.1,87.9
29/2/20,10:40:00,2,17.7,104.6
29/2/20,10:50:00,2,16.7,95.1
29/2/20,11:00:00,2,17.8,95.7
29/2/20,11:10:00,2,17.2,85.2
29/2/20,11:20:00,2,16.6,103.6
29/2/20,11:30:00,2,17.3,95.8
29/2/20,11:40:00,2,18.2,106.2
29/2/20,11:50:00,2,17.6,95.7
29/2/20,12:00:00,2,17.5,90.6
29/2/20,12:10:00,2,16.3,75.3
29/2/20,12:20:00,2,17.3,84.5
29/2/20,12:30:00,2,16.7,77.7
29/2/20,12:40:00,2,16.8,79.7
29/2/20,12:50:00,2,18.2,82.5
29/2/20,13:00:00,2,19.3,84.3
29/2/20,13:10:00,2,16.3,71.3
29/2/20,13:20:00,2,16,80.9
29/2/20,13:30:00,2,15.2,83.5
29/2/20,13:40:00,2,12.2,75.7
29/2/20,13:50:00,2,15.8,76.5
29/2/20,14:00:00,2,15,90.4
29/2/20,14:10:00,2,15.4,75.6
29/2/20,14:20:00,2,14.3,85
29/2/20,14:30:00,2,13,99.6
29/2/20,14:40:00,2,13.9,102.4
29/2/20,14:50:00,2,12.1,67.1
29/2/20,15:00:00,2,11.9,88.2
29/2/20,15:10:00,2,12.7,60.3
29/2/20,15:20:00,2,12.7,85.3
29/2/20,15:30:00,2,13.8,77.2
29/2/20,15:40:00,2,13,95.2
29/2/20,15:50:00,2,12.3,102.1
29/2/20,16:00:00,2,14.2,108.3
29/2/20,16:10:00,2,11.8,100.6
29/2/20,16:20:00,2,12.1,92.2
29/2/20,16:30:00,2,12.2,89.4
29/2/20,16:40:00,2,11.8,82.4
29/2/20,16:50:00,2,11.7,86.8
29/2/20,17:00:00,2,12.6,85.6
29/2/20,17:10:00,2,11.1,85.6
29/2/20,17:20:00,2,10.4,91.3
29/2/20,17:30:00,2,12.6,91.9
29/2/20,17:40:00,2,11.3,95.9
29/2/20,17:50:00,2,12.8,89.9
29/2/20,18:00:00,2,11.8,92.6
29/2/20,18:10:00,2,12.3,86.5
29/2/20,18:20:00,2,11.5,90.6
29/2/20,18:30:00,2,12.7,95.9
29/2/20,18:40:00,2,12.1,92.7
29/2/20,18:50:00,2,13,90.7
29/2/20,19:00:00,2,12,90.5
29/2/20,19:10:00,2,12,90.6
29/2/20,19:20:00,2,13.1,94.3
29/2/20,19:30:00,2,12.9,95.3
29/2/20,19:40:00,2,12,98.2
29/2/20,19:50:00,2,13.3,91.8
29/2/20,20:00:00,2,14.6,85.6
29/2/20,20:10:00,2,15.4,80.8
29/2/20,20:20:00,2,16.8,81.1
29/2/20,20:30:00,2,19.6,79.8
29/2/20,20:40:00,2,17.2,82.2
29/2/20,20:50:00,2,16.8,80.9
29/2/20,21:00:00,2,18,83
29/2/20,21:10:00,2,15.2,81.5
29/2/20,21:20:00,2,14.8,87.7
29/2/20,21:30:00,2,17.2,87.8
29/2/20,21:40:00,2,15.4,79.7
29/2/20,21:50:00,2,14.7,79.5
29/2/20,22:00:00,2,16.7,71.6
29/2/20,22:10:00,2,15.6,78.8
29/2/20,22:20:00,2,15.6,80.3
29/2/20,22:30:00,2,14.6,83.2
29/2/20,22:40:00,2,16.9,80.6
29/2/20,22:50:00,2,14.9,74.7
29/2/20,23:00:00,2,15.2,80
29/2/20,23:10:00,2,14.5,75.7
29/2/20,23:20:00,2,14.8,81.3
29/2/20,23:30:00,2,15.4,83.1
29/2/20,23:40:00,2,15.4,83.1
29/2/20,23:50:00,2,15.1,75.6
1/3/20,0:00:00,2,15.1,73.6
1/3/20,0:10:00,2,14.4,74.3
1/3/20,0:20:00,2,14.8,77.8
1/3/20,0:30:00,2,14,85
1/3/20,0:40:00,2,12.9,82
1/3/20,0:50:00,2,14.9,75.5
1/3/20,1:00:00,2,14.4,75
1/3/20,1:10:00,2,14.1,73.3
1/3/20,1:20:00,2,12.4,80
1/3/20,1:30:00,2,14.4,80.4
1/3/20,1:40:00,2,13.8,83.8
1/3/20,1:50:00,2,15.2,85.4
1/3/20,2:00:00,2,14.1,82.9
1/3/20,2:10:00,2,14,79.1
1/3/20,2:20:00,2,14.9,84.2
1/3/20,2:30:00,2,14.5,85.7
1/3/20,2:40:00,2,11.8,84.2
1/3/20,2:50:00,2,13.8,81.7
1/3/20,3:00:00,2,14.1,89.2
1/3/20,3:10:00,2,14.7,84.1
1/3/20,3:20:00,2,13.3,81.7
1/3/20,3:30:00,2,12,86.2
1/3/20,3:40:00,2,13.4,79.9
1/3/20,3:50:00,2,12.2,79.5
1/3/20,4:00:00,2,11.6,75.4
1/3/20,4:10:00,2,12.6,80.9
1/3/20,4:20:00,2,11.4,81.4
1/3/20,4:30:00,2,13.3,86
1/3/20,4:40:00,2,13.1,84.9
1/3/20,4:50:00,2,13,86.5
1/3/20,5:00:00,2,12.1,84.8
1/3/20,5:10:00,2,12.2,83.3
1/3/20,5:20:00,2,12.5,83.6
1/3/20,5:30:00,2,12.5,81.6
1/3/20,5:40:00,2,11.4,82.3
1/3/20,5:50:00,2,11.8,83.4
